Origin,Destination,Population,Cases2021,Incidence2021
Oldham County,Alabama,140,91,1.8
Pike County,Alabama,5,91,1.8
Pulaski County,Alabama,54,91,1.8
Rowan County,Alabama,6,91,1.8
Simpson County,Alabama,8,91,1.8
Taylor County,Alabama,36,91,1.8
Union County,Alabama,43,91,1.8
Warren County,Alabama,164,91,1.8
Washington County,Alabama,17,91,1.8
Woodford County,Alabama,15,91,1.8
Allen Parish,Alabama,19,91,1.8
Ascension Parish,Alabama,12,91,1.8
Avoyelles Parish,Alabama,1,91,1.8
Beauregard Parish,Alabama,1,91,1.8
Bossier Parish,Alabama,6,91,1.8
Caddo Parish,Alabama,84,91,1.8
Calcasieu Parish,Alabama,35,91,1.8
Concordia Parish,Alabama,8,91,1.8
East Baton Rouge Parish,Alabama,355,91,1.8
Evangeline Parish,Alabama,32,91,1.8
Grant Parish,Alabama,127,91,1.8
Iberville Parish,Alabama,10,91,1.8
Jackson Parish,Alabama,12,91,1.8
Jefferson Parish,Alabama,147,91,1.8
Jefferson Davis Parish,Alabama,13,91,1.8
Lafayette Parish,Alabama,251,91,1.8
Lafourche Parish,Alabama,7,91,1.8
LaSalle Parish,Alabama,17,91,1.8
Lincoln Parish,Alabama,35,91,1.8
Livingston Parish,Alabama,615,91,1.8
Orleans Parish,Alabama,333,91,1.8
Ouachita Parish,Alabama,114,91,1.8
Rapides Parish,Alabama,42,91,1.8
St. Bernard Parish,Alabama,19,91,1.8
St. Helena Parish,Alabama,6,91,1.8
St. John the Baptist Parish,Alabama,99,91,1.8
St. Landry Parish,Alabama,2,91,1.8
St. Tammany Parish,Alabama,120,91,1.8
Tangipahoa Parish,Alabama,191,91,1.8
Union Parish,Alabama,2,91,1.8
Vermilion Parish,Alabama,16,91,1.8
Vernon Parish,Alabama,185,91,1.8
Washington Parish,Alabama,1,91,1.8
Webster Parish,Alabama,11,91,1.8
West Feliciana Parish,Alabama,9,91,1.8
Aroostook County,Alabama,4,91,1.8
Cumberland County,Alabama,38,91,1.8
Hancock County,Alabama,3,91,1.8
Kennebec County,Alabama,6,91,1.8
Knox County,Alabama,33,91,1.8
Somerset County,Alabama,44,91,1.8
York County,Alabama,9,91,1.8
Allegany County,Alabama,6,91,1.8
Anne Arundel County,Alabama,215,91,1.8
Baltimore County,Alabama,73,91,1.8
Calvert County,Alabama,3,91,1.8
Carroll County,Alabama,51,91,1.8
Cecil County,Alabama,8,91,1.8
Charles County,Alabama,1,91,1.8
Frederick County,Alabama,22,91,1.8
Harford County,Alabama,63,91,1.8
Howard County,Alabama,15,91,1.8
Montgomery County,Alabama,241,91,1.8
Prince George's County,Alabama,91,91,1.8
Queen Anne's County,Alabama,33,91,1.8
St. Mary's County,Alabama,14,91,1.8
Washington County,Alabama,64,91,1.8
Wicomico County,Alabama,26,91,1.8
Baltimore City,Alabama,55,91,1.8
Barnstable County,Alabama,44,91,1.8
Berkshire County,Alabama,5,91,1.8
Bristol County,Alabama,67,91,1.8
Franklin County,Alabama,18,91,1.8
Hampden County,Alabama,19,91,1.8
Hampshire County,Alabama,15,91,1.8
Middlesex County,Alabama,298,91,1.8
Norfolk County,Alabama,37,91,1.8
Plymouth County,Alabama,89,91,1.8
Suffolk County,Alabama,76,91,1.8
Antrim County,Alabama,17,91,1.8
Barry County,Alabama,7,91,1.8
Bay County,Alabama,49,91,1.8
Berrien County,Alabama,7,91,1.8
Cheboygan County,Alabama,20,91,1.8
Clare County,Alabama,4,91,1.8
Delta County,Alabama,10,91,1.8
Eaton County,Alabama,3,91,1.8
Genesee County,Alabama,9,91,1.8
Gratiot County,Alabama,3,91,1.8
Huron County,Alabama,1,91,1.8
Ingham County,Alabama,191,91,1.8
Ionia County,Alabama,15,91,1.8
Iosco County,Alabama,10,91,1.8
Jackson County,Alabama,13,91,1.8
Kalamazoo County,Alabama,154,91,1.8
Kalkaska County,Alabama,4,91,1.8
Kent County,Alabama,127,91,1.8
Lake County,Alabama,4,91,1.8
Lenawee County,Alabama,16,91,1.8
Macomb County,Alabama,48,91,1.8
Mason County,Alabama,3,91,1.8
Missaukee County,Alabama,5,91,1.8
Oakland County,Alabama,308,91,1.8
Oceana County,Alabama,1,91,1.8
Ottawa County,Alabama,17,91,1.8
Roscommon County,Alabama,16,91,1.8
Saginaw County,Alabama,13,91,1.8
St. Clair County,Alabama,78,91,1.8
Sanilac County,Alabama,25,91,1.8
Washtenaw County,Alabama,146,91,1.8
Wayne County,Alabama,416,91,1.8
Anoka County,Alabama,18,91,1.8
Beltrami County,Alabama,7,91,1.8
Blue Earth County,Alabama,22,91,1.8
Brown County,Alabama,5,91,1.8
Carver County,Alabama,3,91,1.8
Cottonwood County,Alabama,4,91,1.8
Crow Wing County,Alabama,31,91,1.8
Fillmore County,Alabama,6,91,1.8
Goodhue County,Alabama,39,91,1.8
Hennepin County,Alabama,132,91,1.8
Lake of the Woods County,Alabama,47,91,1.8
Lincoln County,Alabama,4,91,1.8
Lyon County,Alabama,9,91,1.8
Morrison County,Alabama,3,91,1.8
Olmsted County,Alabama,54,91,1.8
Pine County,Alabama,2,91,1.8
Ramsey County,Alabama,81,91,1.8
Rice County,Alabama,4,91,1.8
Rock County,Alabama,45,91,1.8
St. Louis County,Alabama,3,91,1.8
Steele County,Alabama,9,91,1.8
Stevens County,Alabama,7,91,1.8
Swift County,Alabama,11,91,1.8
Wabasha County,Alabama,3,91,1.8
Wadena County,Alabama,4,91,1.8
Washington County,Alabama,4,91,1.8
Winona County,Alabama,7,91,1.8
Adams County,Alabama,13,91,1.8
Alcorn County,Alabama,91,91,1.8
Amite County,Alabama,2,91,1.8
Benton County,Alabama,5,91,1.8
Calhoun County,Alabama,30,91,1.8
Choctaw County,Alabama,6,91,1.8
Claiborne County,Alabama,6,91,1.8
Clarke County,Alabama,37,91,1.8
